id,year,PublicationDate,Trust,Fear,Sadness,Anticipation,Joy,Disgust,Surprise,Anger,data_source,article_type
101,1882,1882/4/15,0.72,0.45,0.35,0.78,0.68,0.52,0.40,0.48,LO,Editorial
102,1882,1882/8/22,0.38,0.72,0.65,0.45,0.32,0.85,0.58,0.88,LO,Editorial
103,1883,1883/12/10,0.85,0.32,0.28,0.90,0.82,0.38,0.32,0.32,LO,Editorial
104,1884,1884/6/18,0.45,0.68,0.62,0.52,0.38,0.78,0.55,0.82,LO,Editorial
105,1885,1885/3/25,0.78,0.38,0.32,0.85,0.75,0.42,0.38,0.40,LO,Editorial
106,1886,1886/9/14,0.52,0.62,0.58,0.58,0.48,0.72,0.48,0.75,LO,Editorial
107,1887,1887/1/8,0.88,0.28,0.25,0.92,0.88,0.32,0.30,0.28,LO,Editorial
108,1887,1887/11/30,0.42,0.70,0.65,0.48,0.35,0.82,0.58,0.85,LO,Editorial
109,1888,1888/5/20,0.75,0.42,0.38,0.80,0.72,0.48,0.42,0.45,LO,Editorial
110,1888,1888/12/15,0.48,0.65,0.60,0.55,0.42,0.75,0.52,0.78,LO,Editorial